dia,fecha,tipo_conteo,lat,long,interseccion,tiempo,volumen_cruce_debido_peatones_x_hora,volumen_cruce_indebido_peatones_x_hora
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6280555555556,-58.3794722222222,Av. Gral Hornos entre Av. Brasil y Av. Caseros,60 min,2700,1012
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6280555555556,-58.3794722222222,Av. Gral Hornos entre Av. Brasil y Av. Caseros,60 min,2200,704
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6291388888889,-58.3790833333333,Av. Gral Hornos y Av. Caseros (Turno mañana),60 min,348,76
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6290833333333,-58.3789722222222,Av. Gral Hornos y Av. Caseros (Turno mañana),60 min,192,344
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6291388888889,-58.3790833333333,Av. Gral Hornos y Av. Caseros (Turno tarde),60 min,348,76
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6290833333333,-58.3789722222222,Av. Gral Hornos y Av. Caseros (Turno tarde),60 min,192,344
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6275555555556,-58.3798611111111,Av. Brasil y Lima Este (Turno mañana),60 min,512,520
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6275555555556,-58.3798611111111,Av. Brasil y Lima Este (Turno tarde),60 min,3132,1720
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6271388888889,-58.3821944444444,Av. Juan de Garay y Lima Oeste,60 min,1320,468
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6271388888889,-58.3821944444444,Av. Juan de Garay y Lima Oeste,60 min,1412,836
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6259722222222,-58.3822777777778,Av. Lima Oeste y Pavon,60 min,0,28
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6259722222222,-58.3822777777778,Av. Lima Oeste y Pavon,60 min,152,352
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6246666666667,-58.3822777777778,Av. Lima Oeste y Constitucion,60 min,96,108
Martes,2019-09-24,Volumen peatonal - Registro de trayectoria,-34.6246666666667,-58.6246666666667,Av. Lima Oeste y Constitucion,60 min,112,280
Jueves,2019-04-04,Volumen peatonal - Registro de trayectoria,-34.6246666666667,-58.6246666666667,Av. Santa Fe y Av. Pueyrredon,60 min,3778,314
Jueves,2019-04-04,Volumen peatonal - Registro de trayectoria,-34.6246666666667,-58.6246666666667,Av. Santa Fe y Av. Coronel Diaz,60 min,2550,354
Jueves,2019-04-04,Volumen peatonal - Registro de trayectoria,-34.6246666666667,-58.6246666666667,Av. Rivadavia y Av. Nazca,60 min,2672,738
Jueves,2019-04-04,Volumen peatonal - Registro de trayectoria,-34.6246666666667,-58.6246666666667,Av. Rivadavia y Av. Acoyte,60 min,3630,274
Jueves,2019-04-04,Volumen peatonal - Registro de trayectoria,-34.6246666666667,-58.6246666666667,Av. San Juan y Av. Entre Rios,60 min,1222,136
Jueves,2019-04-04,Volumen peatonal - Registro de trayectoria,-34.6246666666667,-58.6246666666667,Av. San Juan y Av. Boedo,60 min,868,112
